record_type,record_id,collected_at,observed_at,forecast_hours,name,commune,district,province,latitude,longitude,rainfall_mm,risk_level,flash_flood_risk,color,source
rainfall_station,vrain-22.41019-104.57888-Yên Bình,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Yên Bình,,,,22.41,104.579,3.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.527223-104.840937-Tân Lập 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tân Lập 1,,,,22.527,104.841,3.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.760868-104.86954-Cao Bồ 2,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Cao Bồ 2,,,,22.761,104.87,3.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.52247-104.740244-Xuân Minh 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Xuân Minh 1,,,,22.522,104.74,3.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.58627-104.984839-Trung Thành,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Trung Thành,,,,22.586,104.985,3.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.33567-105.167547-Minh Quang,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Minh Quang,,,,22.336,105.168,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.472412-104.741571-Xuân Minh 2,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Xuân Minh 2,,,,22.472,104.742,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.798333-104.647222-Thàng Tín,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thàng Tín,,,,22.798,104.647,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.50157-104.828842-Tân Lập 2,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tân Lập 2,,,,22.502,104.829,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.649548-104.916106-Quảng Ngần,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Quảng Ngần,,,,22.65,104.916,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.430402-104.841261-Việt Vinh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Việt Vinh,,,,22.43,104.841,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.320892-104.66714-Xuân Giang 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Xuân Giang 1,,,,22.321,104.667,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.314722-105.392778-Thanh Tương,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thanh Tương,,,,22.315,105.393,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.443889-104.490833-Bản Rịa,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bản Rịa,,,,22.444,104.491,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.506667-104.685278-Tiên Nguyên,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tiên Nguyên,,,,22.507,104.685,3.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.677491-104.843381-Thượng Sơn 2,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thượng Sơn 2,,,,22.677,104.843,3.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.740751-104.557742-Bản Díu,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bản Díu,,,,22.741,104.558,3.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.596111-104.771111-Nậm Ty,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Nậm Ty,,,,22.596,104.771,3.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.777645-104.627047-Chiến Phố,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Chiến Phố,,,,22.778,104.627,3.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.74378-104.765102-Túng Sán,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Túng Sán,,,,22.744,104.765,3.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.29729-105.108448-Trung Hà,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Trung Hà,,,,22.297,105.108,3.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.65991-104.85856-Thượng Sơn,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thượng Sơn,,,,22.66,104.859,2.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.56333-104.686462-Nậm Khòa,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Nậm Khòa,,,,22.563,104.686,2.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.757933-105.257253-Lạc Nông 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Lạc Nông 1,,,,22.758,105.257,2.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.65099-104.844395-Thượng Sơn 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thượng Sơn 1,,,,22.651,104.844,2.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.632443-104.453585-Bản Ngò,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bản Ngò,,,,22.632,104.454,2.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.785016-104.582148-Bản Phùng,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bản Phùng,,,,22.785,104.582,2.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.721667-104.598333-Nàng Đôn,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Nàng Đôn,,,,22.722,104.598,2.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.840969-104.943818-Phương Độ,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Phương Độ,,,,22.841,104.944,2.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.648545-104.736521-Bản Péo,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bản Péo,,,,22.649,104.737,2.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.968793-105.112669-Thái Hòa,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thái Hòa,,,,21.969,105.113,2.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.216944-105.2825-Hùng Mỹ,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hùng Mỹ,,,,22.217,105.282,2.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.8117-105.123923-Yên Định,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Yên Định,,,,22.812,105.124,2.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.28913-104.936-Yên Thuận,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Yên Thuận,,,,22.289,104.936,2.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.568611-104.576389-Quảng Nguyên,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Quảng Nguyên,,,,22.569,104.576,2.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.68325-104.462278-Thị trấn Cốc Pài,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thị trấn Cốc Pài,,,,22.683,104.462,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.094147-105.243639-Hòa An,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hòa An,,,,22.094,105.244,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.917776-105.095634-Hùng Đức,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hùng Đức,,,,21.918,105.096,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.104722-105.125833-Minh Hương,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Minh Hương,,,,22.105,105.126,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.887886-104.817934-Thanh Đức,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thanh Đức,,,,22.888,104.818,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.250833-104.791944-Vĩnh Phúc,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Vĩnh Phúc,,,,22.251,104.792,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.702254-104.745483-Bản Nhùng,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bản Nhùng,,,,22.702,104.745,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.681473-104.516742-Cốc Rế,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Cốc Rế,,,,22.681,104.517,2.2,Mưa nhỏ,,#1DADE9,VRain
